   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      912    0.015    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
     1824    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
      912    0.004    0.000    0.186    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:486(_code_to_bytecode)
     8395    0.010    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
     1037    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
     8395    0.011    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
     1828    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      913    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:656(create_module)
   913/16    0.004    0.000    1.708    0.107 <frozen importlib._bootstrap_external>:659(exec_module)
     3981    0.003    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(source_to_code)
      913    0.011    0.000    0.494    0.001 <frozen importlib._bootstrap_external>:729(get_code)
     1499    0.003    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      913    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:786(__init__)
      913    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:811(get_filename)
      914    0.054    0.000    0.260    0.000 <frozen importlib._bootstrap_external>:816(get_data)
      913    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:831(_cache_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:836(set_data)
     1385    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:892(__init__)
  124/105    0.001    0.000    0.243    0.002 <frozen importlib._bootstrap_external>:903(create_module)
      123    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:911(exec_module)
      114    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:944(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:950(_find_parent_path_names)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:960(_get_parent_path)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(_recalculate)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:977(__iter__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      176    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       18    0.000    0.000    0.000    0.000 <string>:2(_parse_args)
        1    0.000    0.000    0.000    0.000 <string>:5(AddRule)
        1    0.000    0.000    0.000    0.000 <string>:5(AlternativeRule)
        1    0.000    0.000    0.000    0.000 <string>:5(AndersonResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Anderson_ksampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(AnsariResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ArcsinRule)
        1    0.000    0.000    0.000    0.000 <string>:5(ArctanRule)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(BartlettResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatistic2dResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatisticResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatisticddResult)
        1    0.000    0.000    0.000    0.000 <string>:5(CacheInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(ConstantRule)
        1    0.000    0.000    0.000    0.000 <string>:5(ConstantTimesRule)
        1    0.000    0.000    0.000    0.000 <string>:5(CumfreqResult)
        1    0.000    0.000    0.000    0.000 <string>:5(CyclicPartsRule)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(DerivativeRule)
        1    0.000    0.000    0.000    0.000 <string>:5(DescribeResult)
        1    0.000    0.000    0.000    0.000 <string>:5(DontKnowRule)
        1    0.000    0.000    0.000    0.000 <string>:5(ExpRule)
        1    0.000    0.000    0.000    0.000 <string>:5(F_onewayResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FlignerResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FriedmanchisquareResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(HeavisideRule)
        1    0.000    0.000    0.000    0.000 <string>:5(HistogramResult)
        1    0.000    0.000    0.000    0.000 <string>:5(IntegralInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(InverseHyperbolicRule)
        1    0.000    0.000    0.000    0.000 <string>:5(KendalltauResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KruskalResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Ks_2sampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KstestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KurtosistestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(LeveneResult)
        1    0.000    0.000    0.000    0.000 <string>:5(LinregressResult)
        1    0.000    0.000    0.000    0.000 <string>:5(MannwhitneyuResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(Mean)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(ModeResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(NormaltestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(PartsRule)
        1    0.000    0.000    0.000    0.000 <string>:5(PiecewiseRule)
        1    0.000    0.000    0.000    0.000 <string>:5(PointbiserialrResult)
        1    0.000    0.000    0.000    0.000 <string>:5(PowerRule)
        1    0.000    0.000    0.000    0.000 <string>:5(Power_divergenceResult)
        1    0.000    0.000    0.000    0.000 <string>:5(RanksumsResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ReciprocalRule)
        1    0.000    0.000    0.000    0.000 <string>:5(RelfreqResult)
        1    0.000    0.000    0.000    0.000 <string>:5(RepeatedResults)
        1    0.000    0.000    0.000    0.000 <string>:5(RewriteRule)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SigmaclipResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SkewtestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SpearmanrResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Std_dev)
        1    0.000    0.000    0.000    0.000 <string>:5(TestResults)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(TrigRule)
        1    0.000    0.000    0.000    0.000 <string>:5(TrigSubstitutionRule)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_1sampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_indResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_relResult)
        1    0.000    0.000    0.000    0.000 <string>:5(URule)
        1    0.000    0.000    0.000    0.000 <string>:5(Variance)
        1    0.000    0.000    0.000    0.000 <string>:5(WilcoxonResult)
        1    0.000    0.000    0.000    0.000 <string>:5(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:5(_CVScoreTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 Image.py:1953(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:1991(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1996(ImageTransformHandler)
        1    0.000    0.000    0.013    0.013 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:38(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:42(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:450(_E)
        1    0.000    0.000    0.000    0.000 Image.py:485(Image)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:113(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:127(ModeFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:145(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:159(UnsharpMask)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:184(BLUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:195(CONTOUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:204(DETAIL)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:21(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:213(EDGE_ENHANCE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:222(EDGE_ENHANCE_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:231(EMBOSS)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:240(FIND_EDGES)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:249(SMOOTH)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:25(Kernel)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:258(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:269(SHARPEN)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:57(BuiltinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:62(RankFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:85(MedianFilter)
